lid	sheet	row	scope	message	signal	can	fmt
SRT_60mphTmC	CAN Mapping	1772	Atlantis High	IPC_SRT_FD_1	SRT_60mphTmC	FD	See dbc
SRT_60mphTmL	CAN Mapping	1773	Atlantis High	IPC_SRT_FD_1	SRT_60mphTmL	FD	See dbc
SRT_BrkDistB_M	CAN Mapping	1774	Atlantis High	IPC_SRT_FD_2	SRT_BrkDistB_M	FD	
SRT_BrkDistB_US	CAN Mapping	1775	Atlantis High	IPC_SRT_FD_2	SRT_BrkDistB_US	FD	
SRT_BrkDistC_M	CAN Mapping	1776	Atlantis High	IPC_SRT_FD_2	SRT_BrkDistC_M	FD	
SRT_BrkDistC_US	CAN Mapping	1777	Atlantis High	IPC_SRT_FD_2	SRT_BrkDistC_US	FD	
SRT_BrkDistL_M	CAN Mapping	1778	Atlantis High	IPC_SRT_FD_2	SRT_BrkDistL_M	FD	
SRT_BrkDistL_US	CAN Mapping	1779	Atlantis High	IPC_SRT_FD_2	SRT_BrkDistL_US	FD	
SRT_BrkSpdB_M	CAN Mapping	1780	Atlantis High	IPC_SRT_FD_2	SRT_BrkSpdB_M	FD	
SRT_BrkSpdB_US	CAN Mapping	1781	Atlantis High	IPC_SRT_FD_2	SRT_BrkSpdB_US	FD	
SRT_BrkSpdC_M	CAN Mapping	1782	Atlantis High	IPC_SRT_FD_2	SRT_BrkSpdC_M	FD	
SRT_BrkSpdC_US	CAN Mapping	1783	Atlantis High	IPC_SRT_FD_2	SRT_BrkSpdC_US	FD	
SRT_BrkSpdL_M	CAN Mapping	1784	Atlantis High	IPC_SRT_FD_2	SRT_BrkSpdL_M	FD	
SRT_BrkSpdL_US	CAN Mapping	1785	Atlantis High	IPC_SRT_FD_2	SRT_BrkSpdL_US	FD	
SRT_BrkTm_B	CAN Mapping	1786	Atlantis High	IPC_SRT_FD_1	SRT_BrkTm_B	FD	
SRT_BrkTm_C	CAN Mapping	1787	Atlantis High	IPC_SRT_FD_1	SRT_BrkTm_C	FD	
